Wall time,Step,Value
1493070765.930984,21795,0.25
1493070767.072136,21821,0.2734375
1493070767.98434,21842,0.296875
1493070768.244003,21848,0.2890625
1493070779.129994,22006,0.375
1493070789.48308,22245,0.4375
1493070790.05129,22258,0.3515625
1493070791.536533,22292,0.359375
1493070793.169523,22330,0.3828125
1493070794.425055,22358,0.3359375
1493070799.638178,22472,0.4453125
1493070801.145437,22507,0.390625
1493070802.745211,22544,0.4921875
1493070806.691223,22635,0.40625
1493070812.245256,22765,0.40625
1493070815.539431,22840,0.3828125
1493070819.4218,22930,0.5
1493070819.550289,22933,0.4453125
1493070830.717719,23084,0.484375
1493070833.064328,23138,0.4296875
1493070833.490333,23148,0.484375
1493070834.954257,23182,0.4375
1493070835.384259,23192,0.4375
1493070836.502133,23218,0.4921875
1493070838.437197,23263,0.4765625
1493070839.446133,23286,0.4296875
1493070842.70205,23361,0.4296875
1493070843.513345,23380,0.515625
1493070845.563044,23427,0.4765625
1493070850.434656,23540,0.4375
1493070852.578715,23589,0.4140625
1493070856.10276,23670,0.4765625
1493070856.583554,23681,0.453125
1493070857.454958,23701,0.4921875
1493070860.591592,23774,0.5234375
1493070863.034277,23831,0.40625
1493070867.685941,23938,0.5390625
1493070878.047279,24079,0.4375
1493070879.952996,24118,0.53125
1493070881.378259,24147,0.5078125
1493070885.485838,24234,0.4296875
1493070887.809784,24282,0.4765625
1493070887.903745,24284,0.5390625
1493070889.686377,24322,0.4375
1493070890.773703,24345,0.515625
1493070894.214549,24416,0.5390625
1493070900.784644,24557,0.4921875
1493070903.83139,24621,0.5078125
1493070908.210145,24719,0.484375
1493070908.563867,24727,0.4453125
1493070916.534757,24901,0.5078125
1493070918.009631,24934,0.40625
1493070925.346296,25008,0.4296875
1493070927.101521,25047,0.5
1493070930.954712,25133,0.5703125
1493070935.358644,25231,0.421875
1493070935.9645,25244,0.5390625
1493070936.372477,25253,0.5234375
1493070940.009722,25332,0.421875
1493070942.740017,25391,0.515625
1493070947.965427,25505,0.4921875
1493070948.6314,25520,0.453125
1493070952.184605,25599,0.4765625
1493070956.050446,25686,0.4453125
1493070961.724235,25812,0.4921875
1493070963.298337,25847,0.4140625
1493070966.464243,25921,0.4921875
1493070975.835682,26045,0.40625
1493070976.734457,26066,0.453125
1493070977.813322,26091,0.4609375
1493070980.566112,26155,0.515625
1493070981.162074,26169,0.4765625
1493070986.467174,26292,0.5625
1493070986.936456,26303,0.4765625
1493070991.248191,26403,0.3984375
1493070994.130922,26470,0.5234375
1493071002.782647,26670,0.453125
1493071008.291734,26797,0.484375
1493071008.336166,26798,0.4609375
1493071009.577246,26827,0.5
1493071009.668074,26829,0.5
1493071013.913299,26928,0.4375
1493071027.090584,27142,0.390625
1493071027.342757,27148,0.515625
1493071027.605757,27154,0.5078125
1493071027.776378,27158,0.5234375
1493071027.819127,27159,0.4453125
1493071032.825025,27274,0.3515625
1493071042.880377,27505,0.4453125
1493071047.273461,27603,0.390625
1493071047.741198,27613,0.4921875
1493071048.04159,27620,0.578125
1493071048.846407,27638,0.5
1493071053.446687,27739,0.5
1493071057.233135,27825,0.4765625
1493071061.338862,27916,0.421875
1493071061.442641,27918,0.546875
1493071062.844321,27950,0.421875
1493071063.630238,27968,0.59375
1493071079.99951,28251,0.46875
1493071081.116318,28277,0.515625
1493071083.048551,28321,0.5
1493071088.115103,28438,0.609375
1493071088.68358,28451,0.53125
1493071092.675749,28543,0.515625
1493071093.931673,28572,0.5390625
1493071095.631573,28611,0.5546875
1493071111.399595,28970,0.5703125
1493071112.565096,28996,0.6171875
1493071117.64702,29018,0.5
1493071118.510935,29037,0.4921875
1493071119.634256,29062,0.609375
1493071120.378593,29078,0.5078125
1493071120.926889,29090,0.6015625
1493071125.98478,29201,0.578125
1493071128.77104,29263,0.515625
1493071138.197317,29471,0.5859375
1493071138.5034,29478,0.53125
1493071138.901057,29487,0.625
1493071141.244201,29537,0.5703125
1493071141.384654,29540,0.578125
1493071142.348812,29561,0.6171875
1493071143.732564,29592,0.46875
1493071144.60903,29611,0.515625
1493071151.012767,29747,0.515625
1493071154.936691,29828,0.59375
1493071155.001222,29829,0.609375
1493071157.07935,29863,0.5859375
1493071168.060948,30000,0.6328125
1493071168.288571,30005,0.6015625
1493071169.488576,30031,0.6171875
1493071171.483799,30077,0.6640625
1493071172.13164,30092,0.6171875
1493071175.751263,30174,0.6015625
1493071177.637354,30217,0.5546875
1493071178.80458,30243,0.640625
1493071180.557283,30284,0.6171875
1493071182.408686,30327,0.7109375
1493071188.110047,30459,0.6484375
1493071188.581438,30470,0.609375
1493071193.014122,30572,0.53125
1493071194.756956,30612,0.6875
1493071198.811046,30706,0.6015625
1493071199.428006,30720,0.6484375
1493071200.195909,30738,0.5859375
1493071217.984806,31052,0.5859375
1493071220.267383,31105,0.640625
1493071233.355663,31406,0.5625
1493071234.965164,31443,0.625
1493071245.871691,31696,0.640625
1493071247.029902,31722,0.5859375
1493071250.833691,31808,0.671875
1493071253.77036,31873,0.703125
1493071254.072613,31880,0.6171875
1493071254.435854,31888,0.625
1493071256.587943,31936,0.6328125
1493071256.979859,31945,0.6328125
1493071263.920989,32004,0.578125
1493071264.498273,32017,0.625
1493071271.387883,32174,0.7109375
1493071272.91804,32207,0.5703125
1493071274.90532,32249,0.59375
1493071283.555028,32435,0.6640625
1493071287.679243,32529,0.546875
1493071288.269574,32542,0.71875
1493071291.449755,32611,0.5390625
1493071293.606452,32657,0.609375
1493071295.892136,32706,0.6015625
1493071298.394903,32762,0.640625
1493071304.145015,32894,0.6484375
1493071304.48315,32902,0.5625
1493071313.531374,33002,0.625
1493071314.065401,33014,0.640625
1493071315.000581,33034,0.59375
1493071320.407489,33152,0.6640625
1493071321.669959,33179,0.6328125
1493071321.75678,33181,0.65625
1493071325.953827,33271,0.65625
1493071329.25056,33341,0.671875
1493071330.472223,33368,0.6796875
1493071330.764246,33375,0.640625
1493071332.117013,33403,0.5390625
1493071338.388915,33539,0.6953125
1493071342.358319,33631,0.5546875
1493071346.549065,33728,0.6640625
1493071346.953151,33737,0.6328125
1493071347.469141,33749,0.6171875
1493071348.292326,33768,0.6171875
1493071349.061363,33785,0.5390625
1493071351.390324,33839,0.6328125
1493071351.915397,33851,0.609375
1493071352.973836,33876,0.625
1493071354.551663,33913,0.640625
1493071363.118036,34017,0.65625
1493071363.951223,34036,0.6328125
1493071364.259856,34043,0.59375
1493071366.244143,34089,0.6328125
1493071368.485228,34141,0.6875
1493071368.612841,34144,0.671875
1493071370.171466,34179,0.6171875
1493071378.03425,34361,0.6640625
1493071378.076984,34362,0.6171875
1493071378.981279,34383,0.640625
1493071381.360255,34438,0.65625
1493071385.138337,34525,0.7109375
1493071385.181204,34526,0.640625
1493071386.828744,34564,0.6328125
1493071388.32228,34599,0.65625
1493071388.708053,34608,0.6328125
1493071396.288994,34783,0.5859375
1493071400.447364,34878,0.6796875
1493071413.468485,35079,0.6328125
1493071415.096435,35115,0.6875
1493071417.922048,35177,0.6796875
1493071421.516702,35254,0.71875
1493071425.112757,35333,0.625
1493071426.056413,35354,0.6875
1493071426.414516,35362,0.6796875
1493071426.995962,35375,0.734375
1493071427.089103,35377,0.6328125
1493071431.772,35481,0.6015625
1493071431.866215,35483,0.6015625
1493071435.756751,35570,0.5859375
1493071435.894586,35573,0.6953125
1493071444.762585,35771,0.671875
1493071445.069293,35778,0.609375
1493071448.028696,35844,0.640625
1493071448.250992,35849,0.6484375
1493071452.898737,35953,0.65625
1493071453.671325,35970,0.6875
1493071460.619209,36037,0.6328125
1493071461.517614,36057,0.609375
1493071466.337642,36164,0.640625
1493071469.29886,36231,0.6875
1493071470.009735,36246,0.640625
1493071470.745284,36262,0.671875
1493071471.33696,36275,0.7109375
1493071472.90076,36310,0.6796875
1493071474.035639,36336,0.6953125
1493071484.128747,36569,0.65625
